ruta,carpeta_origen,comuna,nombre,tipo_archivo,bytes,sha256,paginas,chars_total,paginas_texto,paginas_escaneadas,paginas_vacias,veredicto
Ordenanzas ordenadas\CU1528~1.PDF,ordenadas,cu1528~1,CU1528~1.PDF,PDF,1608684,cd25fb3a6ce69f430e458b605987e372c373054e46e4e675d1a720f7da56eca6,3,0,0,3,0,ESCANEADO
Ordenanzas ordenadas\CU47E3~1.PDF,ordenadas,cu47e3~1,CU47E3~1.PDF,PDF,2749453,fde043b364a252d6c8ccc4e6f3205316c7900f2f1acee1bd9aa93f74c45e0ff6,12,0,0,12,0,ESCANEADO
Ordenanzas ordenadas\CUAE0A~1.PDF,ordenadas,cuae0a~1,CUAE0A~1.PDF,PDF,3067295,76a266bd6ee0dc72896f0f6e2115ae51741975b6b7574af465b804c5f58ca089,11,0,0,11,0,ESCANEADO
Ordenanzas ordenadas\CUFA98~1.PDF,ordenadas,cufa98~1,CUFA98~1.PDF,PDF,1087413,27b5b1999f688023100c1775d69c6993d8049463bca3b1775d5012234fae8910,2,0,0,2,0,ESCANEADO
descargas\curacautin\ordenanzas_vigentes\_apruebese_la_ordenanza_de_prevencion_y_gestion_de_riesgos_comunales_productos_d__Ordenanza Decreto Incendios Forestales.pdf,descargas,curacautin,_apruebese_la_ordenanza_de_prevencion_y_gestion_de_riesgos_comunales_productos_d__Ordenanza Decreto Incendios Forestales.pdf,PDF,26206640,5967b2853dbaabcc600fa9487a9c28bbf32edc3e15e2940fa1edb463c753bcdd,32,0,0,32,0,ESCANEADO
descargas\curacautin\ordenanzas_vigentes\_la_presente_ordenanza_tiene_por_objeto_conservar_educar_y_regular_las_acciones___ordenanza_de_medio_ambiente_y_proteccion_de_la_biodiversidad.pdf,descargas,curacautin,_la_presente_ordenanza_tiene_por_objeto_conservar_educar_y_regular_las_acciones___ordenanza_de_medio_ambiente_y_proteccion_de_la_biodiversidad.pdf,PDF,20923065,a76cfa37d1728749e82faffbc693cdf35903de7a6036169facb6419ad00ace11,33,0,0,33,0,ESCANEADO
descargas\curacautin\ordenanzas_vigentes\_modifica_ordenanza_municipal_terminal_rodoviario_curacautin__decreto_ex_n_2992__30_10_23__modifica_ordenanza_terminal_rodoviario__dec_ex_1965__27_07_23.pdf,descargas,curacautin,_modifica_ordenanza_municipal_terminal_rodoviario_curacautin__decreto_ex_n_2992__30_10_23__modifica_ordenanza_terminal_rodoviario__dec_ex_1965__27_07_23.pdf,PDF,1087413,27b5b1999f688023100c1775d69c6993d8049463bca3b1775d5012234fae8910,2,0,0,2,0,ESCANEADO
descargas\curacautin\ordenanzas_vigentes\_modifica_ordenanza_para_el_funcionamiento_y_derechos_municipales_por_contrapres__dec_ex_n_2991__30_10_23__modifica_ordenanza_funcionamiento_y_derechos_modulos_feria_abasto__dec_ex_n_673__31_05_21.pdf,descargas,curacautin,_modifica_ordenanza_para_el_funcionamiento_y_derechos_municipales_por_contrapres__dec_ex_n_2991__30_10_23__modifica_ordenanza_funcionamiento_y_derechos_modulos_feria_abasto__dec_ex_n_673__31_05_21.pdf,PDF,1608684,cd25fb3a6ce69f430e458b605987e372c373054e46e4e675d1a720f7da56eca6,0,0,0,0,0,ILEGIBLE
descargas\curacautin\ordenanzas_vigentes\_modifica_ordenanza_sobre_derecho_municipales_por_permisos_concesiones_y_servici__dec_ex_n_2990__30_10_23__modifica_ordenanza_derechos_permisos_concesiones_y_servicios_municipales__dec_ex_n_28_10_22.pdf,descargas,curacautin,_modifica_ordenanza_sobre_derecho_municipales_por_permisos_concesiones_y_servici__dec_ex_n_2990__30_10_23__modifica_ordenanza_derechos_permisos_concesiones_y_servicios_municipales__dec_ex_n_28_10_22.pdf,PDF,5164489,f6003a4010d501dc1c144d9b63cec976fe679d85f3650c059b64f9a5df6636c8,0,0,0,0,0,ILEGIBLE
descargas\curacautin\ordenanzas_vigentes\_modificacion_a_la_ordenanza_municipal_que_regula_el_transito_vehicular_horarios__modificacion_a_la_ordenanza_municipal_que_regula_el_transito.pdf,descargas,curacautin,_modificacion_a_la_ordenanza_municipal_que_regula_el_transito_vehicular_horarios__modificacion_a_la_ordenanza_municipal_que_regula_el_transito.pdf,PDF,341510,f29e28d852231fb887cdbdbdf022f87343621e7f986ccb162f5778e434b84895,4,9071,4,0,0,TEXTO
descargas\curacautin\ordenanzas_vigentes\_modificacion_ordenanza_para_el_funcionamiento_y_derechos_municipales_por_contra__modificacion_ordednanza_feria_de_abasto.pdf,descargas,curacautin,_modificacion_ordenanza_para_el_funcionamiento_y_derechos_municipales_por_contra__modificacion_ordednanza_feria_de_abasto.pdf,PDF,3369283,9ede3b4c4ec5d258ebdce33baaf4e92670655accf2e5ac52d6b4faf67a8bca2e,10,0,0,10,0,ESCANEADO
"descargas\curacautin\ordenanzas_vigentes\_ordenanza_local_sobre_uso_de_mascarilla_en_lugares_que_indica_en_la_comuna_de_c__DEC. EX. N. 569, APRUEBA ORDENANZA LOCAL USO DE MASCARILLA..pdf",descargas,curacautin,"_ordenanza_local_sobre_uso_de_mascarilla_en_lugares_que_indica_en_la_comuna_de_c__DEC. EX. N. 569, APRUEBA ORDENANZA LOCAL USO DE MASCARILLA..pdf",PDF,2336547,2f3461ba3d1b2cace21bd9e79fcfbbf0d8f9104a188b409a30be7330c387d960,5,0,0,5,0,ESCANEADO
descargas\curacautin\ordenanzas_vigentes\_ordenanza_municipal_fijacion_de_precios_farmacia_popular__ORDENANZA MUNICIPAL FARMACIA POPULAR.pdf,descargas,curacautin,_ordenanza_municipal_fijacion_de_precios_farmacia_popular__ORDENANZA MUNICIPAL FARMACIA POPULAR.pdf,PDF,753829,7223905d35f6a94ca180dfa3b6046879c0140ef8034720e575fb0bbaaffc0b02,3,0,0,3,0,ESCANEADO
descargas\curacautin\ordenanzas_vigentes\_ordenanza_para_el_funcionamiento_y_derechos_municipales_por_contraprestacion_de__ORDENANZA FUNCIONAMIENTO Y DERECHOS MUNICIPALES MODULOS ARTESANALES.pdf,descargas,curacautin,_ordenanza_para_el_funcionamiento_y_derechos_municipales_por_contraprestacion_de__ORDENANZA FUNCIONAMIENTO Y DERECHOS MUNICIPALES MODULOS ARTESANALES.pdf,PDF,2749453,fde043b364a252d6c8ccc4e6f3205316c7900f2f1acee1bd9aa93f74c45e0ff6,12,0,0,12,0,ESCANEADO
descargas\curacautin\ordenanzas_vigentes\_ordenanza_para_funcionamiento_y_derechos_municipales_por_contra_prestacion_de_m__2021_ORDENANZA FUNCIONAMIENTO Y DERECHOS MUNICIPALES  MODULOS FERIA DE ABASTO.pdf,descargas,curacautin,_ordenanza_para_funcionamiento_y_derechos_municipales_por_contra_prestacion_de_m__2021_ORDENANZA FUNCIONAMIENTO Y DERECHOS MUNICIPALES  MODULOS FERIA DE ABASTO.pdf,PDF,3067295,76a266bd6ee0dc72896f0f6e2115ae51741975b6b7574af465b804c5f58ca089,11,0,0,11,0,ESCANEADO
descargas\curacautin\ordenanzas_vigentes\_ordenanza_reguladora_de_los_kioskos_de_propiedad_municipal_modificacion__DECRETO EX. N°473 MODIFICA ORDENANZA KIOSKOS MUNICIPALES.pdf,descargas,curacautin,_ordenanza_reguladora_de_los_kioskos_de_propiedad_municipal_modificacion__DECRETO EX. N°473 MODIFICA ORDENANZA KIOSKOS MUNICIPALES.pdf,PDF,1710518,598f1c3dce5f812efdbaa51c59b8ccdd8d01fce92952dd61b33d7eafae06c367,8,0,0,8,0,ESCANEADO
