comuna,familia,ruta,carpeta_origen,nombre,bytes,paginas,paginas_texto,paginas_escaneadas,paginas_vacias,veredicto,copias,copias_distintas,rutas_copias
lebu,estimados_junto_con_saludarlos_quiero_que_nos_envie_el_plan_regulador_de_la_comu,Ordenanzas Descargadas\600-1200\lebu_estimados_junto_con_saludarlos_quiero_que_nos_envie_el_plan_regulador_de_la_comu__Plano%20Regulador%20Comunal.pdf,descargadas,lebu_estimados_junto_con_saludarlos_quiero_que_nos_envie_el_plan_regulador_de_la_comu__Plano%20Regulador%20Comunal.pdf,1921308,1,0,0,1,VACIO,2,1,Ordenanzas Descargadas\600-1200\lebu_estimados_junto_con_saludarlos_quiero_que_nos_envie_el_plan_regulador_de_la_comu__Plano%20Regulador%20Comunal.pdf | descargas\lebu\busqueda_global\estimados_junto_con_saludarlos_quiero_que_nos_envie_el_plan_regulador_de_la_comu__Plano%20Regulador%20Comunal.pdf
limache,44143_publica_promulgacionde_plan_regulador_comunal_de_limache,Ordenanzas ordenadas\OCR ok\limache_44143_publica_promulgacionde_plan_regulador_comunal_de_limache__Promulgacion-Actualizacion-PRC-Limache-Diario-Oficial.pdf,ordenadas,limache_44143_publica_promulgacionde_plan_regulador_comunal_de_limache__Promulgacion-Actualizacion-PRC-Limache-Diario-Oficial.pdf,505640,32,32,0,0,TEXTO,3,1,Ordenanzas Descargadas\600-1200\limache_44143_publica_promulgacionde_plan_regulador_comunal_de_limache__Promulgacion-Actualizacion-PRC-Limache-Diario-Oficial.pdf | Ordenanzas ordenadas\OCR ok\limache_44143_publica_promulgacionde_plan_regulador_comunal_de_limache__Promulgacion-Actualizacion-PRC-Limache-Diario-Oficial.pdf | descargas\limache\diario_oficial\44143_publica_promulgacionde_plan_regulador_comunal_de_limache__Promulgacion-Actualizacion-PRC-Limache-Diario-Oficial.pdf
limache,decreto_alcaldicio_2398_autoriza_la_contratacion_de_los_servicios_bajo_la_modali,Ordenanzas Descargadas\600-1200\limache_decreto_alcaldicio_2398_autoriza_la_contratacion_de_los_servicios_bajo_la_modali__da2397.pdf,descargadas,limache_decreto_alcaldicio_2398_autoriza_la_contratacion_de_los_servicios_bajo_la_modali__da2397.pdf,638031,2,2,0,0,TEXTO,2,1,Ordenanzas Descargadas\600-1200\limache_decreto_alcaldicio_2398_autoriza_la_contratacion_de_los_servicios_bajo_la_modali__da2397.pdf | descargas\limache\busqueda_global\decreto_alcaldicio_2398_autoriza_la_contratacion_de_los_servicios_bajo_la_modali__da2397.pdf
limache,potestades_competencias_responsabilidades_funciones_atribuciones_yo_tareas,Ordenanzas ordenadas\OCR ok\limache_potestades_competencias_responsabilidades_funciones_atribuciones_yo_tareas__LEY18695.pdf,ordenadas,limache_potestades_competencias_responsabilidades_funciones_atribuciones_yo_tareas__LEY18695.pdf,302455,98,98,0,0,TEXTO,3,1,Ordenanzas Descargadas\600-1200\limache_potestades_competencias_responsabilidades_funciones_atribuciones_yo_tareas__LEY18695.pdf | Ordenanzas ordenadas\OCR ok\limache_potestades_competencias_responsabilidades_funciones_atribuciones_yo_tareas__LEY18695.pdf | descargas\limache\busqueda_global\potestades_competencias_responsabilidades_funciones_atribuciones_yo_tareas__LEY18695.pdf
linares,1228_anula_declaratorias_de_utilidad_publica_contenidas_en_el_plan_regulador_de,Ordenanzas ordenadas\OCR ok\linares_1228_anula_declaratorias_de_utilidad_publica_contenidas_en_el_plan_regulador_de___do-20150429.pdf,ordenadas,linares_1228_anula_declaratorias_de_utilidad_publica_contenidas_en_el_plan_regulador_de___do-20150429.pdf,41783628,64,55,9,0,MIXTO,3,1,Ordenanzas Descargadas\600-1200\linares_1228_anula_declaratorias_de_utilidad_publica_contenidas_en_el_plan_regulador_de___do-20150429.pdf | Ordenanzas ordenadas\OCR ok\linares_1228_anula_declaratorias_de_utilidad_publica_contenidas_en_el_plan_regulador_de___do-20150429.pdf | descargas\linares\diario_oficial\1228_anula_declaratorias_de_utilidad_publica_contenidas_en_el_plan_regulador_de___do-20150429.pdf
linares,2788_iniciese_el_estudio_de_expropiacion_con_el_objeto_de_analizar_y_continuar_e,Ordenanzas Descargadas\600-1200\linares_2788_iniciese_el_estudio_de_expropiacion_con_el_objeto_de_analizar_y_continuar_e__Diario_of_2788.pdf,descargadas,linares_2788_iniciese_el_estudio_de_expropiacion_con_el_objeto_de_analizar_y_continuar_e__Diario_of_2788.pdf,695576,7,5,2,0,MIXTO,2,1,Ordenanzas Descargadas\600-1200\linares_2788_iniciese_el_estudio_de_expropiacion_con_el_objeto_de_analizar_y_continuar_e__Diario_of_2788.pdf | descargas\linares\diario_oficial\2788_iniciese_el_estudio_de_expropiacion_con_el_objeto_de_analizar_y_continuar_e__Diario_of_2788.pdf
linares,34_aprueba_plan_regulador_linares,Ordenanzas ordenadas\OCR ok\linares_34_aprueba_plan_regulador_linares__plan_regulador.pdf,ordenadas,linares_34_aprueba_plan_regulador_linares__plan_regulador.pdf,643852,6,6,0,0,TEXTO,3,1,Ordenanzas Descargadas\600-1200\linares_34_aprueba_plan_regulador_linares__plan_regulador.pdf | Ordenanzas ordenadas\OCR ok\linares_34_aprueba_plan_regulador_linares__plan_regulador.pdf | descargas\linares\diario_oficial\34_aprueba_plan_regulador_linares__plan_regulador.pdf
linares,71_modificacion_al_plan_regulador_linares,Ordenanzas ordenadas\linares_71_modificacion_al_plan_regulador_linares__mod_rengo.pdf,ordenadas,linares_71_modificacion_al_plan_regulador_linares__mod_rengo.pdf,1745096,1,0,1,0,ESCANEADO,3,1,Ordenanzas Descargadas\600-1200\linares_71_modificacion_al_plan_regulador_linares__mod_rengo.pdf | Ordenanzas ordenadas\linares_71_modificacion_al_plan_regulador_linares__mod_rengo.pdf | descargas\linares\diario_oficial\71_modificacion_al_plan_regulador_linares__mod_rengo.pdf
linares,784_modifiquese_el_plan_regulador_comunal_de_linares_prcl_aprobado_por_resolucio,Ordenanzas ordenadas\linares_784_modifiquese_el_plan_regulador_comunal_de_linares_prcl_aprobado_por_resolucio__DIario_of_784.pdf,ordenadas,linares_784_modifiquese_el_plan_regulador_comunal_de_linares_prcl_aprobado_por_resolucio__DIario_of_784.pdf,2772059,8,0,8,0,ESCANEADO,3,1,Ordenanzas Descargadas\600-1200\linares_784_modifiquese_el_plan_regulador_comunal_de_linares_prcl_aprobado_por_resolucio__DIario_of_784.pdf | Ordenanzas ordenadas\linares_784_modifiquese_el_plan_regulador_comunal_de_linares_prcl_aprobado_por_resolucio__DIario_of_784.pdf | descargas\linares\diario_oficial\784_modifiquese_el_plan_regulador_comunal_de_linares_prcl_aprobado_por_resolucio__DIario_of_784.pdf
linares,92_aprueba_nuevo_plan_regulador_para_la_comuna_de_linares,Ordenanzas ordenadas\OCR ok\linares_92_aprueba_nuevo_plan_regulador_para_la_comuna_de_linares__plan_regulador_2017.pdf,ordenadas,linares_92_aprueba_nuevo_plan_regulador_para_la_comuna_de_linares__plan_regulador_2017.pdf,8029440,24,24,0,0,TEXTO,3,1,Ordenanzas Descargadas\600-1200\linares_92_aprueba_nuevo_plan_regulador_para_la_comuna_de_linares__plan_regulador_2017.pdf | Ordenanzas ordenadas\OCR ok\linares_92_aprueba_nuevo_plan_regulador_para_la_comuna_de_linares__plan_regulador_2017.pdf | descargas\linares\diario_oficial\92_aprueba_nuevo_plan_regulador_para_la_comuna_de_linares__plan_regulador_2017.pdf
